Security Recommendations Export,13 Mar 2026 11:50 PM +00:00
Security recommendation,Weaknesses,Related component,Has Exploit,Has Known Threats,Has Associated Alerts,Exposed Machines,Total Machines,Status,Type,Exposure Score impact,Configuration Score impact,EOS software state,EOS software from,Has EOS Versions,Has Upcoming EOS Versions,Tags
Disable the built-in Administrator account,1,Accounts,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable the built-in Guest account,1,Accounts,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set 'Minimum password length' to '14 or more characters',1,Accounts,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set 'Enforce password history' to '24 or more password(s)',1,Accounts,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set 'Minimum password age' to '1 or more day(s)',1,Accounts,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set 'Account lockout duration' to 15 minutes or more,1,Accounts,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set 'Reset account lockout counter after' to 15 minutes or more,1,Accounts,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set user authentication for remote connections by using Network Level Authentication to 'Enabled',1,Network,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable merging of local Microsoft Defender Firewall rules with group policy firewall rules for the Public profile,1,Security controls (Firewall),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable merging of local Microsoft Defender Firewall connection rules with group policy firewall rules for the Public profile,1,Security controls (Firewall),False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable 'Installation and configuration of Network Bridge on your DNS domain network',1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Enable 'Require domain users to elevate when setting a network's location',1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable 'Autoplay for non-volume devices',1,OS,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable 'Autoplay' for all drives,1,OS,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set default behavior for 'AutoRun' to 'Enabled: Do not execute any autorun commands',1,OS,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set LAN Manager authentication level to 'Send NTLMv2 response only. Refuse LM & NTLM',1,Network,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable 'Allow Basic authentication' for WinRM Client,1,OS,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable 'Allow Basic authentication' for WinRM Service,1,OS,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Set IPv6 source routing to highest protection,1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable IP source routing,1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable Solicited Remote Assistance,1,OS,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable Anonymous enumeration of shares,1,OS,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Enable Microsoft Defender Antivirus email scanning,1,Security controls (Antivirus),False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Disable the local storage of passwords and credentials,1,Accounts,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Enable 'Microsoft network client: Digitally sign communications (always)',1,Network,False,False,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
Enable 'Network Protection',1,Network,False,True,False,1,0,Active,Configuration change,0.00,0.00,,,False,False,
