RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
17,17,2026-02-06 22:38:05.8408919,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AppxManifest""}]}}"
18,18,2026-02-06 22:38:05.8410224,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""AutoUpdatePackage""}]}}"
19,19,2026-02-06 22:38:05.8501584,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""ContentGroup""}]}}"
20,20,2026-02-06 22:38:05.8605098,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""ContentGroupFile""}]}}"
21,21,2026-02-06 22:38:05.8652425,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""File""}]}}"
22,22,2026-02-06 22:38:05.8709610,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""PackageAppInstaller""}]}}"
23,23,2026-02-06 22:38:05.8729384,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""PackageSourceUri""}]}}"
24,24,2026-02-06 22:38:05.8729961,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""2""},{""@Name"":""ProcessId"",""#text"":""2396""},{""@Name"":""Scope"",""#text"":""NULL""}]}}"
25,25,2026-02-06 22:38:05.9200044,245,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""ErrorCode"",""#text"":""0x0""},{""@Name"":""MachineSize_Before"",""#text"":""1048576""},{""@Name"":""MachineJournalSize_Before"",""#text"":""0""},{""@Name"":""DeploymentSize_Before"",""#text"":""1048576""},{""@Name"":""DeploymentJournalSize_Before"",""#text"":""0""},{""@Name"":""MachineSize_After"",""#text"":""1048576""},{""@Name"":""MachineJournalSize_After"",""#text"":""0""},{""@Name"":""DeploymentSize_After"",""#text"":""1048576""},{""@Name"":""DeploymentJournalSize_After"",""#text"":""16384""},{""@Name"":""MaintenancePerformed"",""#text"":""0xF3""}]}}"
26,26,2026-02-06 22:38:06.0548047,269,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
27,27,2026-02-06 22:38:07.2354549,216,Info,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2440,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":{""@Name"":""ProcessId"",""#text"":""2396""}}}"
28,28,2026-02-06 22:38:08.0727742,231,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2072,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x1""}}}"
29,29,2026-02-06 22:38:14.8815074,221,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2972,4864,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000000000000001,0,"{""EventData"":{""Data"":[{""@Name"":""Partition"",""#text"":""1""},{""@Name"":""ProcessId"",""#text"":""2972""},{""@Name"":""Scope"",""#text"":""(database)""}]}}"
30,30,2026-02-06 22:38:14.9259461,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2072,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
31,31,2026-02-06 22:38:15.0577484,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2072,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
32,32,2026-02-06 22:38:15.7448952,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
33,33,2026-02-06 22:38:15.8571428,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
34,34,2026-02-06 22:38:16.6065650,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
35,35,2026-02-06 22:38:16.7261208,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
36,36,2026-02-06 22:38:17.4179474,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2432,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
37,37,2026-02-06 22:38:17.5994975,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2432,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
38,38,2026-02-06 22:38:19.2980392,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2432,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
39,39,2026-02-06 22:38:19.5336303,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2432,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
40,40,2026-02-06 22:38:20.5638819,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
41,41,2026-02-06 22:38:20.7295165,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
42,42,2026-02-06 22:38:21.7160020,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
43,43,2026-02-06 22:38:21.8077676,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
44,44,2026-02-06 22:38:22.7456971,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
45,45,2026-02-06 22:38:22.8697895,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
46,46,2026-02-06 22:38:23.5435379,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
47,47,2026-02-06 22:38:23.7736763,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
48,48,2026-02-06 22:38:25.0452066,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
49,49,2026-02-06 22:38:25.1639494,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
50,50,2026-02-06 22:38:26.0721461,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
51,51,2026-02-06 22:38:26.2177828,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
52,52,2026-02-06 22:38:27.2119560,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
53,53,2026-02-06 22:38:27.3630560,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,3064,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
54,54,2026-02-06 22:38:28.1042984,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
55,55,2026-02-06 22:38:28.2336825,271,Verbose,Microsoft-Windows-StateRepository,Microsoft-Windows-StateRepository/Operational,2396,2840,WIN-IGJLHARSET8,0,S-1-5-18,,,,,,,,,,,False,c:\temp\b0f5cb3c534e29b6ade44c0e5667ea9e_MicrosoftWindowsStateRepository4Operational.evtx,0x4000200000000001,0,"{""EventData"":{""Data"":{""@Name"":""Options"",""#text"":""0x0""}}}"
