Machine Vulnerabilities Export,13 Mar 2026 11:51 PM +00:00
Name,Severity,CVSS v3,Epss score,Age (days),Published,First detected,Updated,Has Exploit,Has Known Threats,Has Associated Alerts,Related Software,Description
CVE-2026-22796,Low,3.7,0.00077,46,"26 Jan, 2026","26 Feb, 2026","18 Feb, 2026",False,False,False,oracle:openssl;ubuntu:openssl1.0;ubuntu:openssl;openssl:openssl;centos:openssl;centos:openssl-devel;centos:openssl-libs;centos:openssl-perl;red_hat:openssl;red_hat:openssl-devel;red_hat:openssl-libs;red_hat:openssl-perl;debian:openssl;suse:libopenssl-1_1-devel;suse:libopenssl-3-devel;suse:libopenssl-3-fips-provider;suse:libopenssl-3-fips-provider-32bit;suse:libopenssl1_1;suse:libopenssl1_1-32bit;suse:libopenssl3;suse:libopenssl3-32bit;suse:openssl-3;suse:libopenssl-1_0_0-devel;suse:libopenssl10;suse:libopenssl1_0_0;suse:libopenssl1_0_0-hmac;suse:openssl-1_0_0;suse:openssl-1_1;suse:libopenssl-1_1-devel-32bit;suse:libopenssl1_1-hmac;suse:libopenssl1_1-hmac-32bit;suse:libopenssl-1_0_0-devel-32bit;suse:libopenssl1_0_0-32bit;suse:libopenssl1_0_0-hmac-32bit;suse:openssl-1_0_0-doc;suse:libopenssl-devel;suse:openssl;suse:openssl-doc;suse:libopenssl-3-devel-32bit;suse:libopenssl1_0_0-steam;suse:libopenssl1_0_0-steam-32bit;suse:openssl-1_0_0-cavs;suse:openssl-1_1-doc;suse:openssl-3-doc;amazon:edk2-ovmf;amazon:edk2-tools;amazon:edk2-tools-doc;amazon:edk2-debuginfo;amazon:edk2-aarch64;amazon:openssl;amazon:openssl-libs;amazon:openssl-devel;amazon:openssl-static;amazon:openssl-perl;amazon:openssl-debuginfo;amazon:openssl11;amazon:openssl11-libs;amazon:openssl11-devel;amazon:openssl11-static;amazon:openssl11-debuginfo;amazon:openssl-fips-provider-latest-debuginfo;amazon:openssl-snapsafe-libs-debuginfo;amazon:openssl-libs-debuginfo;amazon:openssl-snapsafe-libs;amazon:openssl-fips-provider-latest;amazon:openssl-debugsource;microsoft:hvloader;microsoft:edk2;microsoft:openssl;alpine:openssl;alma_linux:openssl;alma_linux:openssl-devel;alma_linux:openssl-libs;alma_linux:openssl-perl;wolfi:openssl;chainguard:libcrypto3-2.34;chainguard:openssl;rocky_linux:openssl;rocky_linux:openssl-libs;red_hat:openssl-debuginfo;red_hat:openssl-debugsource;red_hat:openssl-libs-debuginfo;minimus:openssl;vmware:openssl;vmware:openssl-c_rehash;vmware:openssl-devel;vmware:openssl-docs;vmware:openssl-perl;vmware:openssl-libs,"Summary: A type confusion vulnerability (CVE-2026-22796) exists in OpenSSL's PKCS#7 signature verification process. This issue arises when an ASN1_TYPE union member is accessed without validating its type, potentially leading to an invalid or NULL pointer dereference. Exploitation requires providing malformed PKCS#7 data to an application performing signature verification, resulting in a Denial of Service (DoS). The vulnerability affects OpenSSL versions 3.6, 3.5, 3.4, 3.3, 3.0, 1.1.1, and 1.0.2. Impact: Exploitation of this vulnerability can cause a Denial of Service (DoS) by crashing the application processing the malformed PKCS#7 data. Remediation: Apply the latest patches and updates provided by the respective vendors. AdditionalInformation: The PKCS#7 API is considered legacy, and applications are recommended to use the CMS API instead. The FIPS modules in OpenSSL versions 3.5, 3.4, 3.3, and 3.0 are not affected as the PKCS#7 parsing implementation is outside the FIPS module boundary. Generated by AI"
CVE-2025-66199,Low,3.7,0.00064,45,"27 Jan, 2026","26 Feb, 2026","18 Feb, 2026",False,False,False,openssl:openssl;oracle:openssl;oracle:openssl-devel;oracle:openssl-libs;oracle:openssl-perl;centos:openssl;centos:openssl-devel;centos:openssl-libs;centos:openssl-perl;red_hat:openssl;red_hat:openssl-devel;red_hat:openssl-libs;red_hat:openssl-perl;ubuntu:libssl-dev;ubuntu:libssl-doc;ubuntu:libssl3;ubuntu:openssl;ubuntu:libssl3t64;debian:openssl;suse:libopenssl-3-devel;suse:libopenssl-3-devel-32bit;suse:libopenssl-3-fips-provider;suse:libopenssl-3-fips-provider-32bit;suse:libopenssl-3-fips-provider-x86-64-v3;suse:libopenssl3;suse:libopenssl3-32bit;suse:libopenssl3-x86-64-v3;suse:openssl-3;suse:openssl-3-doc;amazon:openssl-debuginfo;amazon:openssl-fips-provider-latest-debuginfo;amazon:openssl-snapsafe-libs-debuginfo;amazon:openssl-perl;amazon:openssl-libs-debuginfo;amazon:openssl-libs;amazon:openssl-snapsafe-libs;amazon:openssl-fips-provider-latest;amazon:openssl;amazon:openssl-debugsource;amazon:openssl-devel;microsoft:openssl;alpine:openssl;alma_linux:openssl;alma_linux:openssl-devel;alma_linux:openssl-libs;alma_linux:openssl-perl;wolfi:openssl;chainguard:libcrypto3-2.34;chainguard:openssl;rocky_linux:openssl;rocky_linux:openssl-libs;red_hat:openssl-debuginfo;red_hat:openssl-debugsource;red_hat:openssl-libs-debuginfo;minimus:openssl;vmware:openssl;vmware:openssl-c_rehash;vmware:openssl-devel;vmware:openssl-docs;vmware:openssl-libs;vmware:openssl-perl,"Summary: A vulnerability in OpenSSL affects TLS 1.3 connections using certificate compression. The issue arises when a large buffer is allocated before decompression without verifying the configured certificate size limit. This can lead to excessive memory allocation and CPU usage, potentially causing service degradation or denial of service (DoS). The vulnerability impacts configurations where TLS 1.3 certificate compression is enabled and at least one compression algorithm (brotli, zlib, or zstd) is available. Both clients and servers in mutual TLS scenarios are affected, except servers not requesting client certificates. OpenSSL versions 3.6, 3.5, 3.4, and 3.3 are vulnerable, while versions 3.0, 1.1.1, and 1.0.2 are not. Impact: Exploitation of this vulnerability can result in resource exhaustion, leading to service degradation or denial of service (DoS). Remediation: Apply the latest patches and updates provided by the respective vendors. AdditionalInformation: The vulnerability does not lead to memory corruption or information disclosure. It is specific to builds where TLS 1.3 certificate compression is compiled in and negotiated. Generated by AI"
CVE-2026-25169,Medium,6.2,0.00049,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A vulnerability exists in the Microsoft Graphics Component where a divide-by-zero error can be triggered, potentially allowing an unauthorized attacker to cause a local denial-of-service condition. Impact: Exploitation of this vulnerability could result in a denial-of-service scenario, disrupting the normal operation of the affected system. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25172,High,8.8,0.00086,3,"10 Mar, 2026","10 Mar, 2026","13 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: An integer overflow or wraparound vulnerability exists in the Windows Routing and Remote Access Service (RRAS), potentially allowing attackers to execute arbitrary code over a network. Impact: Exploitation of this vulnerability could lead to unauthorized code execution, compromising system integrity and security. Remediation: Apply the latest patches and updates provided by the respective vendors. AdditionalInformation: Conflicting information exists regarding whether the attacker requires authorization to exploit this vulnerability. Generated by AI"
CVE-2026-24285,High,7.0,0.00056,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A use-after-free vulnerability exists in the Windows Win32K component, which could allow a local authenticated attacker to elevate privileges on the system. Impact: Exploitation of this vulnerability could enable an attacker to perform actions with elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-24292,High,7.8,0.00045,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A use-after-free vulnerability exists in the Microsoft Windows Connected Devices Platform Service (Cdpsvc), which could allow an authenticated attacker to elevate privileges locally. Impact: Exploitation of this vulnerability could enable an attacker to perform actions with elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25188,High,8.8,0.00082,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A heap-based buffer overflow vulnerability exists in the Windows Telephony Service, which could allow an unauthorized attacker to elevate privileges when exploited over an adjacent network. Impact: Successful exploitation may result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25180,Medium,5.5,0.00044,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: An out-of-bounds read vulnerability exists in the Microsoft Graphics Component, which could allow an unauthorized attacker to disclose sensitive information locally. Impact: Exploitation of this vulnerability may lead to unauthorized disclosure of sensitive information, potentially compromising system confidentiality. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-23669,High,8.8,0.00064,3,"10 Mar, 2026","10 Mar, 2026","13 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A use-after-free vulnerability exists in the Windows Print Spooler components, which could allow an authenticated attacker to execute arbitrary code remotely by sending specially crafted requests. Impact: Exploitation of this vulnerability could lead to unauthorized code execution, potentially compromising system integrity and security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25173,High,8.0,0.00085,3,"10 Mar, 2026","10 Mar, 2026","13 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: An integer overflow or wraparound vulnerability exists in the Windows Routing and Remote Access Service (RRAS), which could allow an authorized attacker to execute arbitrary code over a network. Impact: Successful exploitation of this vulnerability could lead to unauthorized code execution, potentially compromising system integrity and confidentiality. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-24295,High,7.0,0.00029,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A race condition vulnerability exists in the Windows Device Association Service, where concurrent execution using shared resources with improper synchronization may allow an authorized attacker to elevate privileges locally. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25181,High,7.5,0.00059,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: An out-of-bounds read vulnerability exists in Windows GDI+, which could allow an unauthorized attacker to disclose sensitive information over a network. Impact: Exploitation of this vulnerability may lead to unauthorized information disclosure, potentially compromising sensitive data. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25178,High,7.0,0.00032,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A vulnerability exists in the Windows Ancillary Function Driver for WinSock, where a use-after-free condition can be exploited by an authorized attacker to elevate privileges locally. Impact: Successful exploitation of this vulnerability could allow an attacker to gain elevated privileges on the affected system, potentially leading to unauthorized access or control. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-23673,High,7.8,0.0006,4,"09 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: An out-of-bounds read vulnerability exists in the Windows Resilient File System (ReFS), which could allow a local authenticated attacker to elevate privileges on the system. Impact: Exploitation of this vulnerability may enable an attacker to perform actions with elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25167,High,7.4,0.00032,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_11;microsoft:windows_server_2025,"Summary: A vulnerability exists in the Microsoft Brokering File System due to a use-after-free condition, which allows unauthorized attackers to elevate privileges locally. Impact: Exploitation of this vulnerability could enable attackers to gain elevated privileges on the affected system, potentially compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-25174,High,7.8,0.00045,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: An out-of-bounds read vulnerability exists in the Windows Extensible File Allocation system, which could allow an authorized attacker to elevate privileges locally. Impact: Exploitation of this vulnerability may result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
CVE-2026-24283,High,8.8,0.00045,3,"10 Mar, 2026","10 Mar, 2026","12 Mar, 2026",False,False,False,microsoft:windows_11;microsoft:windows_server_2022;microsoft:windows_server_2025,"Summary: A heap-based buffer overflow vulnerability exists in the UNC Provider Kernel Driver of Microsoft Windows File Server. This flaw allows a local authenticated attacker to elevate privileges on the system, enabling the execution of higher privileged actions. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security and allowing attackers to perform actions beyond their intended access level. Remediation: Apply the latest patches and updates provided by the respective vendors. Generated by AI"
